m_id,n,ns_per_op,bed_setup,it_setup,sr_setup,ir_setup,it_pos,sr_pos,ir_pos,b_name
104,154233430,38.9,5s,5,3,3,4,3,1,BenchmarkParseLiteralStringValid/10Valid
105,154297880,38.88,5s,5,3,3,5,3,1,BenchmarkParseLiteralStringValid/10Valid
106,1786290,3358.0,5s,5,3,3,1,1,1,BenchmarkParseLiteralStringValid/1kValid
107,1785150,3357.0,5s,5,3,3,2,1,1,BenchmarkParseLiteralStringValid/1kValid
108,1787113,3358.0,5s,5,3,3,3,1,1,BenchmarkParseLiteralStringValid/1kValid
109,1780328,3359.0,5s,5,3,3,4,1,1,BenchmarkParseLiteralStringValid/1kValid
110,1787529,3360.0,5s,5,3,3,5,1,1,BenchmarkParseLiteralStringValid/1kValid
111,1786908,3357.0,5s,5,3,3,1,2,1,BenchmarkParseLiteralStringValid/1kValid
112,1786544,3357.0,5s,5,3,3,2,2,1,BenchmarkParseLiteralStringValid/1kValid
113,1785174,3360.0,5s,5,3,3,3,2,1,BenchmarkParseLiteralStringValid/1kValid
114,1785229,3356.0,5s,5,3,3,4,2,1,BenchmarkParseLiteralStringValid/1kValid
115,1786892,3358.0,5s,5,3,3,5,2,1,BenchmarkParseLiteralStringValid/1kValid
116,1785846,3358.0,5s,5,3,3,1,3,1,BenchmarkParseLiteralStringValid/1kValid
117,1786006,3358.0,5s,5,3,3,2,3,1,BenchmarkParseLiteralStringValid/1kValid
118,1787871,3357.0,5s,5,3,3,3,3,1,BenchmarkParseLiteralStringValid/1kValid
119,1786539,3358.0,5s,5,3,3,4,3,1,BenchmarkParseLiteralStringValid/1kValid
120,1787061,3357.0,5s,5,3,3,5,3,1,BenchmarkParseLiteralStringValid/1kValid
121,891,6718430.0,5s,5,3,3,1,1,1,BenchmarkParseLiteralStringValid/1MValid
122,1747,3436012.0,5s,5,3,3,2,1,1,BenchmarkParseLiteralStringValid/1MValid
123,1747,3437283.0,5s,5,3,3,3,1,1,BenchmarkParseLiteralStringValid/1MValid
124,1746,3435546.0,5s,5,3,3,4,1,1,BenchmarkParseLiteralStringValid/1MValid
125,1746,3435760.0,5s,5,3,3,5,1,1,BenchmarkParseLiteralStringValid/1MValid
126,1746,3436192.0,5s,5,3,3,1,2,1,BenchmarkParseLiteralStringValid/1MValid
127,1746,3436771.0,5s,5,3,3,2,2,1,BenchmarkParseLiteralStringValid/1MValid
128,1740,3445340.0,5s,5,3,3,3,2,1,BenchmarkParseLiteralStringValid/1MValid
129,1744,3436873.0,5s,5,3,3,4,2,1,BenchmarkParseLiteralStringValid/1MValid
130,1741,3438209.0,5s,5,3,3,5,2,1,BenchmarkParseLiteralStringValid/1MValid
131,1746,3436298.0,5s,5,3,3,1,3,1,BenchmarkParseLiteralStringValid/1MValid
132,1746,3449408.0,5s,5,3,3,2,3,1,BenchmarkParseLiteralStringValid/1MValid
133,1746,3435262.0,5s,5,3,3,3,3,1,BenchmarkParseLiteralStringValid/1MValid
134,1740,3444798.0,5s,5,3,3,4,3,1,BenchmarkParseLiteralStringValid/1MValid
135,1746,3444829.0,5s,5,3,3,5,3,1,BenchmarkParseLiteralStringValid/1MValid
136,235286919,25.49,5s,5,3,3,1,1,1,BenchmarkParseLiteralStringValid/10ValidUtf8
137,235288250,25.48,5s,5,3,3,2,1,1,BenchmarkParseLiteralStringValid/10ValidUtf8
138,235266968,25.5,5s,5,3,3,3,1,1,BenchmarkParseLiteralStringValid/10ValidUtf8
139,234357906,25.49,5s,5,3,3,4,1,1,BenchmarkParseLiteralStringValid/10ValidUtf8
140,235409547,25.49,5s,5,3,3,5,1,1,BenchmarkParseLiteralStringValid/10ValidUtf8
141,235279345,25.49,5s,5,3,3,1,2,1,BenchmarkParseLiteralStringValid/10ValidUtf8
142,235323020,25.49,5s,5,3,3,2,2,1,BenchmarkParseLiteralStringValid/10ValidUtf8
